Game;Name;Picture;Picture2;Amount;PrefIconWidth;PrefIconHeight;PrefImageWidth;PrefImageHeight
Arcadia Quest;Brutplättchen;Brutplättchen.png;;5;60;40;60;40
Arcadia Quest;Erfrischungstrank;Erfrischungstrank.png;;2;75;75;50;50
Arcadia Quest;Extra Zug Trank;Extra_Zug_Trank.png;;2;75;75;50;50
Arcadia Quest;Heiltrank;Heiltrank.png;;2;75;75;50;50
Arcadia Quest;Schatztruhe 1;Schatztruhe_1.png;;2;75;75;50;50
Arcadia Quest;Schatztruhe 2;Schatztruhe_2.png;;2;75;75;50;50
Arcadia Quest;Schatztruhe 3;Schatztruhe_3.png;;2;75;75;50;50
Arcadia Quest;Schatztruhe 4;Schatztruhe_4.png;;2;75;75;50;50
Arcadia Quest;Erkundungsplättchen;Erkundungsplättchen_Rückseite.png;;18;75;75;50;50
Arcadia Quest;Blaues Portal;Portal_Blau.png;;8;75;75;50;50
Arcadia Quest;Rotes Portal;Portal_Rot.png;;8;75;75;50;50
Arcadia Quest;Blaues Questplättchen;Questplättchen_Blau.png;;1;75;75;50;50
Arcadia Quest;Grünes Questplättchen;Questplättchen_Grün.png;;1;75;75;50;50
Arcadia Quest;Oranges Questplättchen;Questplättchen_Orange.png;;1;75;75;50;50
Arcadia Quest;Rotes Questplättchen;Questplättchen_Rot.png;;1;75;75;50;50
Arcadia Quest;Closed Door;Tür_Geschlossen_Horizontal.png;Tür_Geschlossen_Vertikal.png;17;150;40;123;26
Arcadia Quest;Open Door;Tür_Offen_Horizontal.png;Tür_Offen_Vertikal.png;17;150;40;123;26
Arcadia Quest;Small Closed Door;Tür_Klein_Geschlossen_Horizontal.png;Tür_Klein_Geschlossen_Vertikal.png;4;150;40;123;26
Arcadia Quest;Small Open Door;Tür_Klein_Offen_Horizontal.png;Tür_Klein_Offen_Vertikal.png;4;150;40;123;26
Arcadia Quest;Locked Door;Tür_Verschlossen_Horizontal.png;Tür_Verschlossen_Vertikal.png;1;150;40;123;26
